disease_uid	entrezID	source	url
AID00007	474244	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/474244
AID00007	55301	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/55301
AID00041	29979	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/29979
AID00007	474222	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/474222
AID00007	474246	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/474246
AID00041	4729	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/4729
AID00001	3558	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/3558
AID00015	135138	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/135138
AID00041	135138	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/135138
AID00041	6620	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/6620
AID00007	474238	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/474238
AID00041	219402	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/219402
AID00009	6890	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/6890
AID00025	6890	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/6890
AID00023	7273	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/7273
AID00007	474251	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/474251
AID00002	3593	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/3593
AID00002	6888	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/6888
AID00041	4209	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/4209
AID00041	4209	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/4209
AID00017	100293534	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/100293534
AID00041	26281	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/26281
AID00023	5393	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/5393
AID00017	2214	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/2214
AID00048	91662	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/91662
AID00021	374	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/374
AID00007	474228	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/474228
AID00007	3569	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/3569
AID00041	7345	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/7345
AID00041	7345	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/7345
AID00031	5994	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/5994
AID00012	1108	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/1108
AID00007	474241	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/474241
AID00010	9354	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/9354
AID00023	9354	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/9354
AID00007	474237	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/474237
AID00010	6288	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/6288
AID00007	6288	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/6288
AID00007	3950	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/3950
AID00007	22900	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/22900
AID00041	65018	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/65018
AID00010	64127	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/64127
AID00041	2861	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/2861
AID00007	474225	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/474225
AID00007	474233	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/474233
AID00001	5966	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/5966
AID00007	5966	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/5966
AID00017	6084	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/6084
AID00012	1107	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/1107
AID00017	1380	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/1380
AID00017	1380	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/1380
AID00017	4124	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/4124
AID00007	387129	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/387129
AID00030	387129	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/387129
AID00011	4666	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/4666
AID00009	6891	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/6891
AID00025	6891	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/6891
AID00044	594840	NCBI Gene	http://www.ncbi.nlm.nih.gov/gene/594840
